2019-01-02_18:09:55data_dir: data/
batch_size: 120
win_size: 5
hidden_num: 100
word_dim: 300
num_epochs: 3
grad_clip: 10.00/10715 (epoch 0), train_loss = 11.781, time/batch = 0.797
1/10715 (epoch 0), train_loss = 9.855, time/batch = 0.513
2/10715 (epoch 0), train_loss = 8.325, time/batch = 0.549
3/10715 (epoch 0), train_loss = 6.636, time/batch = 0.511
4/10715 (epoch 0), train_loss = 7.343, time/batch = 0.528
5/10715 (epoch 0), train_loss = 6.423, time/batch = 0.546
6/10715 (epoch 0), train_loss = 6.143, time/batch = 0.533
7/10715 (epoch 0), train_loss = 5.400, time/batch = 0.555
8/10715 (epoch 0), train_loss = 5.948, time/batch = 0.547
9/10715 (epoch 0), train_loss = 8.025, time/batch = 0.556
10/10715 (epoch 0), train_loss = 5.831, time/batch = 0.554
11/10715 (epoch 0), train_loss = 6.132, time/batch = 0.551
12/10715 (epoch 0), train_loss = 6.065, time/batch = 0.532
13/10715 (epoch 0), train_loss = 5.582, time/batch = 0.548
14/10715 (epoch 0), train_loss = 5.793, time/batch = 0.528
15/10715 (epoch 0), train_loss = 5.052, time/batch = 0.544
16/10715 (epoch 0), train_loss = 5.958, time/batch = 0.527
17/10715 (epoch 0), train_loss = 5.714, time/batch = 0.533
18/10715 (epoch 0), train_loss = 5.894, time/batch = 0.539
19/10715 (epoch 0), train_loss = 5.913, time/batch = 0.564
20/10715 (epoch 0), train_loss = 5.406, time/batch = 0.547
21/10715 (epoch 0), train_loss = 6.918, time/batch = 0.572
22/10715 (epoch 0), train_loss = 6.831, time/batch = 0.570
23/10715 (epoch 0), train_loss = 5.979, time/batch = 0.680
24/10715 (epoch 0), train_loss = 5.807, time/batch = 0.710
25/10715 (epoch 0), train_loss = 6.215, time/batch = 0.619
26/10715 (epoch 0), train_loss = 6.493, time/batch = 0.597
27/10715 (epoch 0), train_loss = 6.556, time/batch = 0.634
28/10715 (epoch 0), train_loss = 6.012, time/batch = 0.582
29/10715 (epoch 0), train_loss = 5.759, time/batch = 0.640
30/10715 (epoch 0), train_loss = 6.003, time/batch = 0.593
31/10715 (epoch 0), train_loss = 6.237, time/batch = 0.583
32/10715 (epoch 0), train_loss = 4.794, time/batch = 0.812
33/10715 (epoch 0), train_loss = 6.183, time/batch = 0.555
34/10715 (epoch 0), train_loss = 5.842, time/batch = 0.599
35/10715 (epoch 0), train_loss = 5.283, time/batch = 0.559
36/10715 (epoch 0), train_loss = 7.630, time/batch = 0.707
37/10715 (epoch 0), train_loss = 5.448, time/batch = 0.657
38/10715 (epoch 0), train_loss = 6.314, time/batch = 0.569
39/10715 (epoch 0), train_loss = 5.947, time/batch = 0.582
40/10715 (epoch 0), train_loss = 6.627, time/batch = 0.554
41/10715 (epoch 0), train_loss = 5.872, time/batch = 0.581
42/10715 (epoch 0), train_loss = 5.476, time/batch = 0.622
43/10715 (epoch 0), train_loss = 5.693, time/batch = 0.601
44/10715 (epoch 0), train_loss = 6.295, time/batch = 0.558
45/10715 (epoch 0), train_loss = 5.084, time/batch = 0.572
46/10715 (epoch 0), train_loss = 6.432, time/batch = 0.616
47/10715 (epoch 0), train_loss = 5.707, time/batch = 0.619
48/10715 (epoch 0), train_loss = 5.877, time/batch = 0.600
49/10715 (epoch 0), train_loss = 5.689, time/batch = 0.584
50/10715 (epoch 0), train_loss = 5.935, time/batch = 0.567
51/10715 (epoch 0), train_loss = 5.925, time/batch = 0.572
52/10715 (epoch 0), train_loss = 5.376, time/batch = 0.541
53/10715 (epoch 0), train_loss = 6.029, time/batch = 0.569
54/10715 (epoch 0), train_loss = 6.286, time/batch = 0.558
55/10715 (epoch 0), train_loss = 5.951, time/batch = 0.567
56/10715 (epoch 0), train_loss = 6.077, time/batch = 0.569
57/10715 (epoch 0), train_loss = 6.328, time/batch = 0.578
58/10715 (epoch 0), train_loss = 5.544, time/batch = 0.547
59/10715 (epoch 0), train_loss = 5.959, time/batch = 0.555
60/10715 (epoch 0), train_loss = 5.560, time/batch = 0.576
61/10715 (epoch 0), train_loss = 5.553, time/batch = 0.566
62/10715 (epoch 0), train_loss = 6.198, time/batch = 0.549
63/10715 (epoch 0), train_loss = 6.452, time/batch = 0.553
64/10715 (epoch 0), train_loss = 6.396, time/batch = 0.563
65/10715 (epoch 0), train_loss = 5.730, time/batch = 0.521
66/10715 (epoch 0), train_loss = 5.618, time/batch = 0.621
67/10715 (epoch 0), train_loss = 5.696, time/batch = 0.531
68/10715 (epoch 0), train_loss = 6.296, time/batch = 0.533
69/10715 (epoch 0), train_loss = 4.793, time/batch = 0.546
70/10715 (epoch 0), train_loss = 5.802, time/batch = 0.552
71/10715 (epoch 0), train_loss = 5.747, time/batch = 0.541
72/10715 (epoch 0), train_loss = 7.115, time/batch = 0.541
73/10715 (epoch 0), train_loss = 5.222, time/batch = 0.519
74/10715 (epoch 0), train_loss = 6.114, time/batch = 0.548
75/10715 (epoch 0), train_loss = 5.750, time/batch = 0.546
76/10715 (epoch 0), train_loss = 4.949, time/batch = 0.530
77/10715 (epoch 0), train_loss = 5.784, time/batch = 0.543
78/10715 (epoch 0), train_loss = 4.987, time/batch = 0.534
79/10715 (epoch 0), train_loss = 4.933, time/batch = 0.545
80/10715 (epoch 0), train_loss = 5.895, time/batch = 0.543
81/10715 (epoch 0), train_loss = 5.787, time/batch = 0.540
82/10715 (epoch 0), train_loss = 5.509, time/batch = 0.538
83/10715 (epoch 0), train_loss = 5.858, time/batch = 0.535
84/10715 (epoch 0), train_loss = 6.007, time/batch = 0.546
85/10715 (epoch 0), train_loss = 6.044, time/batch = 0.525
86/10715 (epoch 0), train_loss = 6.080, time/batch = 0.540
87/10715 (epoch 0), train_loss = 5.592, time/batch = 0.518
88/10715 (epoch 0), train_loss = 5.490, time/batch = 0.544
89/10715 (epoch 0), train_loss = 5.224, time/batch = 0.535
90/10715 (epoch 0), train_loss = 5.400, time/batch = 0.544
91/10715 (epoch 0), train_loss = 5.170, time/batch = 0.533
92/10715 (epoch 0), train_loss = 5.877, time/batch = 0.546
93/10715 (epoch 0), train_loss = 5.327, time/batch = 0.533
94/10715 (epoch 0), train_loss = 5.441, time/batch = 0.544
95/10715 (epoch 0), train_loss = 5.811, time/batch = 0.541
96/10715 (epoch 0), train_loss = 6.148, time/batch = 0.537
97/10715 (epoch 0), train_loss = 5.780, time/batch = 0.537
98/10715 (epoch 0), train_loss = 4.630, time/batch = 0.522
99/10715 (epoch 0), train_loss = 5.087, time/batch = 0.555
100/10715 (epoch 0), train_loss = 5.522, time/batch = 0.542
101/10715 (epoch 0), train_loss = 5.592, time/batch = 0.543
102/10715 (epoch 0), train_loss = 4.899, time/batch = 0.561
103/10715 (epoch 0), train_loss = 5.794, time/batch = 0.584
104/10715 (epoch 0), train_loss = 5.601, time/batch = 0.586
105/10715 (epoch 0), train_loss = 4.636, time/batch = 0.543
106/10715 (epoch 0), train_loss = 6.383, time/batch = 0.573
107/10715 (epoch 0), train_loss = 5.277, time/batch = 0.555
108/10715 (epoch 0), train_loss = 5.068, time/batch = 0.570
109/10715 (epoch 0), train_loss = 5.132, time/batch = 0.564
110/10715 (epoch 0), train_loss = 5.171, time/batch = 0.603
111/10715 (epoch 0), train_loss = 5.145, time/batch = 0.643
112/10715 (epoch 0), train_loss = 4.663, time/batch = 0.570
113/10715 (epoch 0), train_loss = 4.228, time/batch = 0.591
114/10715 (epoch 0), train_loss = 4.933, time/batch = 0.560
115/10715 (epoch 0), train_loss = 5.942, time/batch = 0.558
116/10715 (epoch 0), train_loss = 5.134, time/batch = 0.536
117/10715 (epoch 0), train_loss = 5.874, time/batch = 0.536
118/10715 (epoch 0), train_loss = 5.634, time/batch = 0.542
119/10715 (epoch 0), train_loss = 5.286, time/batch = 0.559
120/10715 (epoch 0), train_loss = 5.160, time/batch = 0.541
121/10715 (epoch 0), train_loss = 5.884, time/batch = 0.557
122/10715 (epoch 0), train_loss = 5.737, time/batch = 0.530
123/10715 (epoch 0), train_loss = 3.084, time/batch = 0.566
124/10715 (epoch 0), train_loss = 3.451, time/batch = 0.567
125/10715 (epoch 0), train_loss = 2.987, time/batch = 0.543
126/10715 (epoch 0), train_loss = 3.108, time/batch = 0.561
127/10715 (epoch 0), train_loss = 2.779, time/batch = 0.525
128/10715 (epoch 0), train_loss = 3.317, time/batch = 0.525
129/10715 (epoch 0), train_loss = 2.992, time/batch = 0.524
130/10715 (epoch 0), train_loss = 4.397, time/batch = 0.533
131/10715 (epoch 0), train_loss = 2.935, time/batch = 0.552
132/10715 (epoch 0), train_loss = 2.979, time/batch = 0.527
133/10715 (epoch 0), train_loss = 2.824, time/batch = 0.567
134/10715 (epoch 0), train_loss = 4.034, time/batch = 0.552
135/10715 (epoch 0), train_loss = 3.874, time/batch = 0.530
136/10715 (epoch 0), train_loss = 3.686, time/batch = 0.528
137/10715 (epoch 0), train_loss = 2.268, time/batch = 0.541
138/10715 (epoch 0), train_loss = 3.418, time/batch = 0.522
