2018-12-26_02:26:100/1574 (epoch 0), train_loss = 9.830, time/batch = 0.316
1/1574 (epoch 0), train_loss = 6.914, time/batch = 0.186
2/1574 (epoch 0), train_loss = 5.142, time/batch = 0.181
3/1574 (epoch 0), train_loss = 6.150, time/batch = 0.183
4/1574 (epoch 0), train_loss = 5.351, time/batch = 0.183
5/1574 (epoch 0), train_loss = 4.676, time/batch = 0.185
6/1574 (epoch 0), train_loss = 4.785, time/batch = 0.184
7/1574 (epoch 0), train_loss = 4.586, time/batch = 0.184
8/1574 (epoch 0), train_loss = 3.573, time/batch = 0.183
9/1574 (epoch 0), train_loss = 3.962, time/batch = 0.182
10/1574 (epoch 0), train_loss = 3.304, time/batch = 0.188
11/1574 (epoch 0), train_loss = 4.938, time/batch = 0.188
12/1574 (epoch 0), train_loss = 7.291, time/batch = 0.197
13/1574 (epoch 0), train_loss = 6.866, time/batch = 0.186
14/1574 (epoch 0), train_loss = 6.174, time/batch = 0.188
15/1574 (epoch 0), train_loss = 6.042, time/batch = 0.187
16/1574 (epoch 0), train_loss = 5.314, time/batch = 0.191
17/1574 (epoch 0), train_loss = 4.976, time/batch = 0.188
18/1574 (epoch 0), train_loss = 5.483, time/batch = 0.187
19/1574 (epoch 0), train_loss = 6.014, time/batch = 0.188
20/1574 (epoch 0), train_loss = 5.712, time/batch = 0.186
21/1574 (epoch 0), train_loss = 5.368, time/batch = 0.190
22/1574 (epoch 0), train_loss = 5.098, time/batch = 0.191
23/1574 (epoch 0), train_loss = 5.548, time/batch = 0.213
24/1574 (epoch 0), train_loss = 6.088, time/batch = 0.214
25/1574 (epoch 0), train_loss = 4.564, time/batch = 0.219
26/1574 (epoch 0), train_loss = 3.418, time/batch = 0.222
27/1574 (epoch 0), train_loss = 3.594, time/batch = 0.219
28/1574 (epoch 0), train_loss = 3.761, time/batch = 0.213
29/1574 (epoch 0), train_loss = 2.375, time/batch = 0.235
30/1574 (epoch 0), train_loss = 3.141, time/batch = 0.229
31/1574 (epoch 0), train_loss = 3.139, time/batch = 0.206
32/1574 (epoch 0), train_loss = 4.150, time/batch = 0.190
33/1574 (epoch 0), train_loss = 4.762, time/batch = 0.189
34/1574 (epoch 0), train_loss = 5.037, time/batch = 0.190
35/1574 (epoch 0), train_loss = 4.530, time/batch = 0.190
36/1574 (epoch 0), train_loss = 4.048, time/batch = 0.187
37/1574 (epoch 0), train_loss = 5.143, time/batch = 0.192
38/1574 (epoch 0), train_loss = 4.178, time/batch = 0.187
39/1574 (epoch 0), train_loss = 4.027, time/batch = 0.187
40/1574 (epoch 0), train_loss = 4.581, time/batch = 0.188
41/1574 (epoch 0), train_loss = 4.012, time/batch = 0.188
42/1574 (epoch 0), train_loss = 3.970, time/batch = 0.188
43/1574 (epoch 0), train_loss = 3.634, time/batch = 0.205
44/1574 (epoch 0), train_loss = 5.582, time/batch = 0.203
45/1574 (epoch 0), train_loss = 3.898, time/batch = 0.201
46/1574 (epoch 0), train_loss = 5.183, time/batch = 0.204
47/1574 (epoch 0), train_loss = 3.618, time/batch = 0.207
48/1574 (epoch 0), train_loss = 4.074, time/batch = 0.205
49/1574 (epoch 0), train_loss = 5.608, time/batch = 0.204
50/1574 (epoch 0), train_loss = 3.657, time/batch = 0.207
51/1574 (epoch 0), train_loss = 4.271, time/batch = 0.197
52/1574 (epoch 0), train_loss = 3.871, time/batch = 0.186
53/1574 (epoch 0), train_loss = 4.510, time/batch = 0.188
54/1574 (epoch 0), train_loss = 4.780, time/batch = 0.189
55/1574 (epoch 0), train_loss = 4.412, time/batch = 0.187
56/1574 (epoch 0), train_loss = 3.908, time/batch = 0.192
57/1574 (epoch 0), train_loss = 3.723, time/batch = 0.213
58/1574 (epoch 0), train_loss = 3.717, time/batch = 0.205
59/1574 (epoch 0), train_loss = 4.951, time/batch = 0.211
60/1574 (epoch 0), train_loss = 4.892, time/batch = 0.214
61/1574 (epoch 0), train_loss = 3.918, time/batch = 0.213
62/1574 (epoch 0), train_loss = 3.658, time/batch = 0.227
